listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category,distance_km,fuel_used_liters,actual_weight_received,emissions_avoided_kg,estimated_distance,transport_emissions,recycling_savings,processing_efficiency,net_climate_impact,climate_impact_level,predicted_climate_impact
1,1,Kenya,Nakuru,Liquid,Greywater,131.65,Low,,3,Matched,43.85,Closed,10.12,2025-10-13 14:54:39,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,8.98,Low,Low
1,1,Kenya,Nakuru,Liquid,Greywater,131.65,Low,,3,Matched,43.85,Closed,10.12,2025-10-13 14:54:39,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-0.32,Low,Low
2,1,Kenya,Nakuru,Others,Miscellaneous,11.18,High,,29,Matched,1.87,Open,6.77,2026-02-25 18:14:39,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,8.98,Low,Low
2,1,Kenya,Nakuru,Others,Miscellaneous,11.18,High,,29,Matched,1.87,Open,6.77,2026-02-25 18:14:39,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-0.32,Low,Low
3,2,Kenya,Kisumu,Solid,Textiles/Used Clothing,272.27,High,,17,Matched,307.59,Closed,6.54,2026-01-08 12:56:08,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,3.75,Low,Medium
3,2,Kenya,Kisumu,Solid,Textiles/Used Clothing,272.27,High,,17,Matched,307.59,Closed,6.54,2026-01-08 12:56:08,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,10.32,Medium,Medium
4,2,Kenya,Kisumu,Organic,Market Waste,397.55,High,,57,Matched,279.77,Closed,5.6,2026-01-10 15:03:38,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,32.09,11.3,16.57,70.06,32.09,30.284000000000002,70.06,0.04168029178719658,3.75,Low,Medium
4,2,Kenya,Kisumu,Organic,Market Waste,397.55,High,,57,Matched,279.77,Closed,5.6,2026-01-10 15:03:38,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,32.09,11.3,16.57,70.06,32.09,30.284000000000002,70.06,0.04168029178719658,10.32,Medium,Medium
5,3,Nigeria,Lagos,Liquid,Used Cooking Oil,448.18,Medium,,1,Matched,71.67,Closed,7.15,2025-10-03 05:37:50,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,17.82,Medium,Medium
5,3,Nigeria,Lagos,Liquid,Used Cooking Oil,448.18,Medium,,1,Matched,71.67,Closed,7.15,2025-10-03 05:37:50,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,-1.43,Low,Medium
6,3,Nigeria,Lagos,Organic,Livestock Manure,275.5,Low,,3,Matched,218.74,In Progress,6.19,2025-10-14 09:53:09,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,17.82,Medium,Medium
6,3,Nigeria,Lagos,Organic,Livestock Manure,275.5,Low,,3,Matched,218.74,In Progress,6.19,2025-10-14 09:53:09,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,-1.43,Low,Medium
7,4,Nigeria,Ibadan,Organic,Market Waste,104.37,Low,,54,Matched,93.48,In Progress,5.57,2025-10-26 20:49:15,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,4.62,Low,High
7,4,Nigeria,Ibadan,Organic,Market Waste,104.37,Low,,54,Matched,93.48,In Progress,5.57,2025-10-26 20:49:15,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,283.44,High,High
8,4,Nigeria,Ibadan,Liquid,Industrial Effluent,447.66,High,,34,Unmatched,84.7,Open,5.39,2025-11-14 09:38:16,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,86.08,11.66,19.47,384.69,86.08,31.248800000000003,384.69,0.04349282937943975,4.62,Low,High
8,4,Nigeria,Ibadan,Liquid,Industrial Effluent,447.66,High,,34,Unmatched,84.7,Open,5.39,2025-11-14 09:38:16,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,86.08,11.66,19.47,384.69,86.08,31.248800000000003,384.69,0.04349282937943975,283.44,High,High
9,5,Nigeria,Lagos,Liquid,Used Cooking Oil,299.74,Low,,7,Unmatched,98.59,Open,2.38,2025-12-17 16:20:08,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,34.56,13.19,,164.37,34.56,35.3492,164.37,,104.32,High,High
9,5,Nigeria,Lagos,Liquid,Used Cooking Oil,299.74,Low,,7,Unmatched,98.59,Open,2.38,2025-12-17 16:20:08,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,34.56,13.19,,164.37,34.56,35.3492,164.37,,29.01,Medium,High
10,5,Nigeria,Lagos,Liquid,Used Cooking Oil,288.51,Low,,58,Unmatched,30.01,Closed,6.18,2026-03-03 23:26:30,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,,,,,,,,,104.32,High,High
10,5,Nigeria,Lagos,Liquid,Used Cooking Oil,288.51,Low,,58,Unmatched,30.01,Closed,6.18,2026-03-03 23:26:30,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,,,,,,,,,29.01,Medium,High
11,6,Kenya,Mombasa,Others,E-waste,416.44,Low,,44,Unmatched,60.76,Closed,7.28,2025-12-27 12:33:31,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,,,,,,,,,-65.51,Low,Low
11,6,Kenya,Mombasa,Others,E-waste,416.44,Low,,44,Unmatched,60.76,Closed,7.28,2025-12-27 12:33:31,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,,,,,,,,,-46.05,Low,Low
12,6,Kenya,Mombasa,Organic,Livestock Manure,433.34,Low,,40,Unmatched,220.6,Open,5.79,2025-11-20 15:38:01,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,,,,,,,,,-65.51,Low,Low
12,6,Kenya,Mombasa,Organic,Livestock Manure,433.34,Low,,40,Unmatched,220.6,Open,5.79,2025-11-20 15:38:01,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,,,,,,,,,-46.05,Low,Low
13,7,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,348.22,Low,,10,Matched,222.44,Open,6.82,2025-09-29 08:36:00,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,,,,,,,,,-57.09,Low,Low
13,7,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,348.22,Low,,10,Matched,222.44,Open,6.82,2025-09-29 08:36:00,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,,,,,,,,,-6.81,Low,Low
14,7,Nigeria,Ibadan,Organic,Market Waste,48.73,High,,23,Unmatched,21.73,In Progress,6.69,2026-03-16 17:17:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-57.09,Low,Low
14,7,Nigeria,Ibadan,Organic,Market Waste,48.73,High,,23,Unmatched,21.73,In Progress,6.69,2026-03-16 17:17:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-6.81,Low,Low
15,8,Kenya,Kisumu,Liquid,Septage/Sewage,437.13,Medium,,41,Matched,103.65,In Progress,9.59,2026-01-09 05:14:29,3,12,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,-81.09,Low,Low
15,8,Kenya,Kisumu,Liquid,Septage/Sewage,437.13,Medium,,41,Matched,103.65,In Progress,9.59,2026-01-09 05:14:29,3,12,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,-11.4,Low,Low
16,8,Kenya,Kisumu,Organic,Food Scraps,149.85,Medium,,37,Unmatched,59.69,Open,6.15,2026-02-10 08:13:30,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,,,,,,,,,-81.09,Low,Low
16,8,Kenya,Kisumu,Organic,Food Scraps,149.85,Medium,,37,Unmatched,59.69,Open,6.15,2026-02-10 08:13:30,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,,,,,,,,,-11.4,Low,Low
17,9,Kenya,Nairobi,Organic,Market Waste,59.21,Low,,46,Unmatched,27.1,Closed,5.54,2025-11-28 11:42:16,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,-0.3,Low,High
17,9,Kenya,Nairobi,Organic,Market Waste,59.21,Low,,46,Unmatched,27.1,Closed,5.54,2025-11-28 11:42:16,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,243.43,High,High
18,9,Kenya,Nairobi,Organic,Market Waste,444.97,Low,,18,Unmatched,231.24,Open,6.54,2025-10-03 16:40:37,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General,12.99,3.04,22.13,298.57,12.99,8.1472,298.57,0.04973368991167943,-0.3,Low,High
18,9,Kenya,Nairobi,Organic,Market Waste,444.97,Low,,18,Unmatched,231.24,Open,6.54,2025-10-03 16:40:37,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General,12.99,3.04,22.13,298.57,12.99,8.1472,298.57,0.04973368991167943,243.43,High,High
19,10,Kenya,Eldoret,Organic,Agricultural Residue,56.07,Low,,24,Unmatched,37.12,Open,5.37,2025-09-17 19:19:28,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,-0.5,Low,Low
19,10,Kenya,Eldoret,Organic,Agricultural Residue,56.07,Low,,24,Unmatched,37.12,Open,5.37,2025-09-17 19:19:28,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,,,,,,,,,-15.81,Low,Low
20,10,Kenya,Eldoret,Organic,Market Waste,167.09,High,,55,Matched,31.68,Closed,5.79,2025-12-05 00:42:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-0.5,Low,Low
20,10,Kenya,Eldoret,Organic,Market Waste,167.09,High,,55,Matched,31.68,Closed,5.79,2025-12-05 00:42:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-15.81,Low,Low
21,11,Nigeria,Lagos,Solid,PET Bottles,163.02,High,,53,Unmatched,100.91,Open,7.46,2026-01-18 13:31:48,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-9.4,Low,Medium
